ID;CQ;;;;;;;;;;;;;
CQ1;What is the year of the doctoral thesis?;;;;;;;;;;;;;
CQ2;What is the language of the PhD thesis?;;;;;;;;;;;;;
CQ3;What is the title of the PhD thesis?;;;;;;;;;;;;;
CQ4;Who is the author of the PhD thesis?;;;;;;;;;;;;;
CQ5;Who are the contributors (supervisors and tutors) of the PhD thesis?;;;;;;;;;;;;;
CQ6;What is the PhD cycle (academic year) of the PhD courses?;;;;;;;;;;;;;
CQ7;What is the scientific disciplinary code of the thesis subject?;;;;;;;;;;;;;
CQ8;What is the abstract of the PhD thesis?;;;;;;;;;;;;;
CQ9;Which universities contributed to the PhD thesis?;;;;;;;;;;;;;
CQ10;In which department did the PhD student take their thesis?;;;;;;;;;;;;;
